"time","DA","Y"
0,2356.25,2400
0.2,2351.7356277675926,2393.9808370234564
0.4,2347.376460771211,2388.1686143616143
0.6,2343.167367596158,2382.5564901282105
0.8,2339.103071947355,2377.13742926314
1,2335.178521649781,2371.9046955330414
1.2,2331.3889282051914,2366.851904273589
1.4,2327.7297045351875,2361.97293938025
1.6,2324.196351755536,2357.2618023407144
1.8,2320.784538021158,2352.712717361544
2,2317.4900704476636,2348.320093930218
2.2,2314.3089173227127,2344.0785564302837
2.4,2311.2371735506904,2339.982898067587
2.6,2308.2710732149635,2336.0280976199515
2.8,2305.406984346665,2332.20931246222
3,2302.6414093279145,2328.5218791038856
3.2,2299.9709502817045,2324.9612670422725
3.4,2297.392346480346,2321.5231286404614
3.6,2294.902430558763,2318.2032407450174
3.8,2292.4981578211787,2314.9975437615717
4,2290.1765783015626,2311.9021044020833
4.2,2287.9348518913403,2308.91313585512
4.4,2285.770230558202,2306.0269740776025
4.6,2283.6800629652116,2303.2400839536153
4.8,2281.6617864717628,2300.5490486290164
5,2279.712929191641,2297.950572255521
5.2,2277.8311020469987,2295.4414693959984
5.4,2276.0139995127,2293.0186660169334
5.6,2274.2593949061497,2290.6791932081996
5.8,2272.5651392746504,2288.4201856995337
6,2270.929157430194,2286.238876573592
6.2,2269.349445830698,2284.132594440931
6.4,2267.8240692953964,2282.098759060528
6.6,2266.351158637294,2280.1348781830584
6.8,2264.9289080046156,2278.238544006154
7,2263.555572402684,2276.4074298702453
7.2,2262.2294777571897,2274.6393036762524
7.4,2260.948994671784,2272.931992895712
7.6,2259.712552483228,2271.2834033109702
7.8,2258.518636605504,2269.691515474005
8,2257.3657888779026,2268.1543851705364
8.2,2256.2525920782396,2266.670122770986
8.4,2255.1776791676516,2265.236905556869
8.6,2254.1397388396645,2263.852985119552
8.8,2253.1374998284637,2262.5166664379512
9,2252.1697304205672,2261.2263072274227
9.2,2251.23524269678,2259.9803235957065
9.4,2250.332900345185,2258.7772004602466
9.6,2249.461593094922,2257.6154574598963
9.8,2248.6202520023726,2256.4936693364966
10,2247.8078470461905,2255.410462728254
10.2,2247.0233872384415,2254.364516317922
10.4,2246.2659080157973,2253.354544021063
10.6,2245.5344795492083,2252.379306065611
10.8,2244.828209639104,2251.4376128521385
11,2244.146233026594,2250.528310702125
11.2,2243.4877116947237,2249.6502822596317
11.4,2242.8518372432836,2248.802449657712
11.6,2242.2378367715855,2247.983782362114
11.8,2241.6449543428944,2247.1932724571925
12,2241.072462246101,2246.4299496614685
12.2,2240.5196596684536,2245.692879557938
12.4,2239.9858725908075,2244.98116345441
12.6,2239.4704442962684,2244.2939257283574
12.8,2238.9727420021914,2243.630322669588
13,2238.492158786741,2242.989545048988
13.2,2238.028105778423,2242.3708077045644
13.4,2237.5800129003337,2241.773350533778
13.6,2237.1473302915256,2241.196440388701
13.8,2236.7295316269683,2240.6393755026243
14,2236.3261028166894,2240.1014704222525
14.2,2235.93654877982,2239.58206503976
14.4,2235.5603927306233,2239.080523640831
14.6,2235.1971758177815,2238.596234423708
14.8,2234.8464512614883,2238.128601681984
15,2234.507788428299,2237.677051237732
15.2,2234.1807744873267,2237.2410326497693
15.4,2233.8650085847194,2236.820011446292
15.6,2233.5601027599014,2236.4134703465347
15.8,2233.2656828364975,2236.020910448663
16,2232.981390772389,2235.6418543631853
16.2,2232.706876666207,2235.2758355549427
16.4,2232.441803623085,2234.9224048307797
16.6,2232.1858472655376,2234.5811296873835
16.8,2231.938695317357,2234.2515937564763
17,2231.7000438005375,2233.93339173405
17.2,2231.4695997191675,2233.6261329588897
17.4,2231.247082183392,2233.3294429111897
17.6,2231.032218365316,2233.0429578204216
17.8,2230.824744328824,2232.7663257717654
18,2230.624405507537,2232.4992073433827
18.2,2230.4309582106775,2232.241277614237
18.4,2230.244164364104,2231.9922191521387
18.6,2230.063794713133,2231.7517262841775
18.8,2229.8896285718183,2231.5195047624243
19,2229.7214534180407,2231.295271224054
19.2,2229.5590623977073,2231.0787498636096
19.4,2229.4022561222414,2230.869674829655
19.6,2229.25084352152,2230.6677913620265
19.8,2229.104638888706,2230.4728518516076
20,2228.9634626371317,2230.2846168495084
20.2,2228.827141566582,2230.1028554221093
20.4,2228.6955098364233,2229.927346448564
20.6,2228.5684054562616,2229.7578739416817
20.8,2228.4456724325955,2229.5942299101275
21,2228.3271606240514,2229.4362141654015
21.2,2228.212725383253,2229.283633844337
21.4,2228.102225971139,2229.1363012948523
21.6,2227.9955267132045,2228.9940356176057
21.8,2227.8924976229473,2228.8566634972626
22,2227.7930122963962,2228.7240163951947
22.2,2227.6969485430277,2228.5959313907033
22.4,2227.6041885200707,2228.472251360094
22.6,2227.5146193717273,2228.35282582897
22.8,2227.428130868295,2228.2375078243927
23,2227.3446168590017,2228.1261558120023
23.2,2227.2639751978304,2228.018633597107
23.4,2227.1861074409458,2227.9148099212607
23.6,2227.1109178247075,2227.81455709961
23.8,2227.0383140272606,2227.717752036347
24,2226.968208067924,2227.624277423899
24.2,2226.900514098159,2227.5340187975453
24.4,2226.8351492563907,2227.4468656751874
24.6,2226.772033645258,2227.3627115270106
24.8,2226.71109008591,2227.2814534478803
25,2226.652243997692,2227.2029919969227
25.2,2226.5954232778286,2227.1272310371046
25.4,2226.5405582084486,2227.054077611265
25.6,2226.4875813071576,2226.9834417428765
25.8,2226.4364271802065,2226.915236240275
26,2226.387032449855,2226.8493765998064
26.2,2226.3393356176844,2226.785780823579
26.4,2226.293276944518,2226.724369259357
26.6,2226.248798330341,2226.665064440454
26.8,2226.2058554854166,2226.6078073138883
27,2226.16439,2226.552520000662
27.2,2226.124350225763,2226.499133634351
27.4,2226.0856866379963,2226.447582183995
27.6,2226.0483512539395,2226.397801671919
27.8,2226.0122975440586,2226.3497300587446
28,2225.977484268675,2226.3033123582336
28.2,2225.943869880758,2226.258493174344
28.4,2225.911411164391,2226.215214885855
28.6,2225.880068187899,2226.1734242505318
28.8,2225.849802294001,2226.1330697253347
29,2225.820576030052,2226.0941013734027
29.2,2225.7923539999438,2226.056471999925
29.4,2225.7651046052797,2226.0201394737064
29.6,2225.738792368499,2225.9850564913318
29.8,2225.713384958918,2225.9511799452243
30,2225.6888510577123,2225.91846807695
30.2,2225.6651602983934,2225.8868803978576
30.4,2225.6422832072844,2225.8563776097126
30.6,2225.620194895163,2225.8269265268837
30.8,2225.5988668611567,2225.798489148209
31,2225.578272481699,2225.7710299755986
31.2,2225.5583862760077,2225.744515034677
31.4,2225.539183510683,2225.7189113475774
31.6,2225.5206401499117,2225.6941868665485
31.8,2225.5027350421688,2225.670313389558
32,2225.4854473168725,2225.647263089163
32.2,2225.468754243434,2225.6250056579115
32.4,2225.4526351464383,2225.6035135285842
32.6,2225.437069964034,2225.582759952045
32.8,2225.42203920896,2225.5627189452803
33,2225.4075245212807,2225.543366028374
33.2,2225.393510897051,2225.5246811960674
33.4,2225.379979192966,2225.506638923954
33.6,2225.3669127117246,2225.4892169489663
33.8,2225.354295276029,2225.4723937013723
34,2225.3421111990365,2225.456148265382
34.2,2225.330345254808,2225.440460339744
34.4,2225.3189847900035,2225.425313053338
34.6,2225.308015291309,2225.4106870550786
34.8,2225.2974229567926,2225.39656394239
35,2225.287194738622,2225.382926318163
35.2,2225.2773179970864,2225.3697573294485
35.4,2225.2677804771565,2225.3570406362087
35.6,2225.2585709858904,2225.3447613145204
35.8,2225.2496787933806,2225.3329050578404
36,2225.241092426737,2225.3214565689823
36.2,2225.2328013153365,2225.3104017537817
36.4,2225.2247952150415,2225.2997269533885
36.6,2225.2170641886523,2225.289418918203
36.8,2225.209598730244,2225.279464973659
37,2225.202390821436,2225.269854428581
37.2,2225.195430869354,2225.260574492472
37.4,2225.1887102903993,2225.251613720532
37.6,2225.1822207615623,2225.2429610154168
37.8,2225.1759542043483,2225.2346056057972
38,2225.1699027686814,2225.2265370249083
38.2,2225.1640599205684,2225.218746560758
38.4,2225.158418298634,2225.2112243981787
38.6,2225.1529707040036,2225.2039609386716
38.8,2225.147710392491,2225.1969471899874
39,2225.142630821387,2225.190174428515
39.2,2225.1377256368314,2225.183634182442
39.4,2225.1329891025125,2225.17731880335
39.6,2225.1284159060688,2225.171221208091
39.8,2225.1239999757836,2225.165333301045
40,2225.1197358629774,2225.1596478173033
40.2,2225.115618287741,2225.1541577169883
40.4,2225.111642129156,2225.1488561722076
40.6,2225.107802456417,2225.143736608556
40.8,2225.104095254115,2225.138793672153
41,2225.1005155414464,2225.134020721928
41.2,2225.0970589146928,2225.129411886257
41.4,2225.093721109014,2225.124961478685
41.6,2225.090497990617,2225.1206639874895
41.8,2225.0873855489267,2225.1165140652356
42,2225.0843802897,2225.112507052934
42.2,2225.0814785145885,2225.1086380194515
42.4,2225.078676537164,2225.104902049552
42.6,2225.0759709016565,2225.1012945355424
42.8,2225.0733582577086,2225.097811010278
43,2225.0708353539194,2225.094447138559
43.2,2225.068399269895,2225.0911990265267
43.4,2225.0660474425395,2225.088063256719
43.6,2225.063776720717,2225.085035627623
43.8,2225.0615843600867,2225.0821124801155
44,2225.059467710578,2225.0792902807702
44.2,2225.0574242117746,2225.076565615699
44.4,2225.0554513882967,2225.0739351843954
44.6,2225.0535468451803,2225.0713957935736
44.8,2225.051708263265,2225.0689443510196
45,2225.049933394566,2225.066577859421
45.2,2225.0482200576675,2225.0642934102234
45.4,2225.046566133096,2225.062088177461
45.6,2225.0449695587067,2225.0599594116084
45.8,2225.04342838382,2225.0579045117597
46,2225.041940651021,2225.055920868028
46.2,2225.040504424636,2225.0540058995143
46.4,2225.0391178346126,2225.0521571128165
46.6,2225.0377790461303,2225.050372061507
46.8,2225.036486255034,2225.0486483400455
47,2225.035237683262,2225.0469835776826
47.2,2225.034031574277,2225.045375432369
47.4,2225.032866188498,2225.043821584664
47.6,2225.03173979873,2225.04231973164
47.8,2225.0306506855954,2225.040867580794
48,2225.029597710549,2225.0394636140645
48.2,2225.0285817026897,2225.03810893692
48.4,2225.0275998518446,2225.036799802459
48.6,2225.0266509772637,2225.0355346363517
48.8,2225.0257339608734,2225.034311947831
49,2225.0248477472696,2225.0331303296925
49.2,2225.0239913437194,2225.0319884582927
49.4,2225.0231638201667,2225.0308850935553
49.6,2225.022364309222,2225.0298190789626
49.8,2225.02159200617,2225.02878934156
50,2225.0208461689685,2225.027794891958
50,2225.0208461689685,2225.027794891958
